[mio cells/mL],[mio cells/mL],[1/mL],[1/mL],[1/day],[1/day],,
Chlorella,Chlorella-error,Brachionus,Brachionus-error,delta,meandelta,day#,chemostat
0.7445,0.053,32.6,5.4,0.319409425,0.320281314,129,5o3high
1.01305,0.00515,33.875,0.125,0.3099206,0.320281314,130,5o3high
0.967025,0.051275,34.875,3.625,0.324263464,0.320281314,131,5o3high
0.818435,0.046315,37.375,2.875,0.306423727,0.320281314,132,5o3high
0.68275,0.061,28.5,1,0.28302561,0.320281314,133,5o3high
0.64531,0.04481,31.625,3.375,0.357144917,0.320281314,134,5o3high
0.680435,0.033815,34.625,3.875,0.315736719,0.320281314,135,5o3high
0.695625,0.042375,32.625,1.375,0.319342096,0.320281314,136,5o3high
0.68606,0.06706,34.75,0.75,0.316859023,0.320281314,137,5o3high
0.805625,0.005875,33.68055556,2.430555556,0.322120199,0.320281314,138,5o3high
1.04114,0.28126,32.5,1.25,0.331411363,0.320281314,139,5o3high
0.78475,0.01013,33.125,0.875,0.313542613,0.320281314,140,5o3high
0.59988,0.011,38,0.75,0.334182111,0.320281314,141,5o3high
0.46769,0.02169,33.75,1.5,0.321121376,0.320281314,142,5o3high
0.584185,0.018065,28.75,3.5,0.324362204,0.320281314,143,5o3high
0.6525,0.01775,33.44827586,0.344827586,0.327764784,0.320281314,144,5o3high
0.77587,0.01425,34.50123153,3.429802956,0.315984576,0.320281314,145,5o3high
0.71462,0.0135,32.14285714,3.928571429,0.329192437,0.320281314,146,5o3high
1.00154,0.09416,31.14285714,4.357142857,0.315513832,0.320281314,147,5o3high
0.714565,0.025185,34.43681319,0.206043956,0.321422785,0.320281314,148,5o3high
0.6025,0.012,38.73809524,1.595238095,0.320352078,0.320281314,149,5o3high
0.648,0.00238,35.44827586,1.448275862,0.319541515,0.320281314,150,5o3high
0.620935,0.083685,37.62643678,0.040229885,0.316348484,0.320281314,151,5o3high
0.57756,0.02206,31.66666667,1.333333333,0.330120074,0.320281314,152,5o3high
0.84325,0.0505,32.3452381,6.988095238,0.325617549,0.320281314,153,5o3high
0.749185,0.026435,40.38461538,1.923076923,0.317948057,0.320281314,154,5o3high
0.781375,0.012625,36.07142857,0.714285714,0.316625156,0.320281314,155,5o3high
1.038325,0.069075,31.25,0.535714286,0.324377401,0.320281314,156,5o3high
0.7475,0.00525,32.75862069,4.137931034,0.323063322,0.320281314,157,5o3high
0.799875,0.010125,33.21428571,0,0.318205227,0.320281314,158,5o3high
0.78938,0.0335,29.68253968,7.46031746,0.317174488,0.320281314,159,5o3high
0.733685,0.027435,26.25,9.107142857,0.316950969,0.320281314,160,5o3high
0.811435,0.042685,33.92857143,0.357142857,0.326725091,0.320281314,161,5o3high
0.68925,0.03375,31.96428571,2.321428571,0.313884661,0.320281314,162,5o3high
0.708875,0.018625,31.86206897,0.137931034,0.326465126,0.320281314,163,5o3high
0.563775,0.011105,35.36330049,5.708128079,0.319558657,0.320281314,164,5o3high
0.65475,0.0225,35.17241379,0,0.307381985,0.320281314,165,5o3high
0.766935,0.049315,29.64285714,1.785714286,0.333090013,0.320281314,166,5o3high
0.68994,0.05194,27.86945813,1.4408867,0.324298444,0.320281314,167,5o3high
1.14246,0.14534,34.48275862,2.068965517,0.332597857,0.320281314,168,5o3high
1.000975,0.008225,43.75,0.892857143,0.324510428,0.320281314,169,5o3high
0.876605,0.080725,36.37931034,2.24137931,0.32763889,0.320281314,170,5o3high
0.59656,0.07806,26.25,14.82142857,0.333733394,0.320281314,171,5o3high
0.74394,0.05794,48.92142857,4.278571429,0.312569542,0.320281314,172,5o3high
0.81113,0.01525,37.5,5,0.332796713,0.320281314,173,5o3high
0.66138,0.205,45.22727273,5.227272727,0.326741864,0.320281314,174,5o3high
0.55625,0.032,41.03448276,4.482758621,0.320023317,0.320281314,175,5o3high
0.90629,0.22091,23.62068966,2.24137931,0.323608153,0.320281314,176,5o3high
0.744935,0.043685,34.82758621,0.689655172,0.321370501,0.320281314,177,5o3high
0.779935,0.046685,39.64285714,0.357142857,0.328984706,0.320281314,178,5o3high
0.555,0.02188,41.49630542,4.710591133,0.316306562,0.320281314,179,5o3high
0.722125,0.104625,25.35714286,1.785714286,0.330046373,0.320281314,180,5o3high
0.688315,0.038935,43.75,11.96428571,0.321023144,0.320281314,181,5o3high
0.711685,0.021935,21.89655172,5,0.326238145,0.320281314,182,5o3high
0.70813,0.04775,28.1773399,3.891625616,0.313240134,0.320281314,183,5o3high
0.826685,0.108565,17.83333333,6.833333333,0.328508862,0.643073313,184,5o3high
4.3402,0.0386,3.3125,0.8125,0.628403854,0.643073313,20,tan
4.4481,0.0199,1.6875,0.1875,0.635984032,0.643073313,21,tan
4.5173,0.0651,2.1875,0.0625,0.630222679,0.643073313,22,tan
4.1006,0.0014,1.4375,0.4375,0.9223373,0.643073313,23,tan
4.38635,0.02175,1.5625,0.6875,0.616765107,0.643073313,24,tan
4.4978,0.1332,2.375,0.25,0.633724646,0.643073313,25,tan
4.2522,0.0473,2.5,0.125,0.627807268,0.643073313,26,tan
4.5905,0.0706,2.0625,0.1875,0.629495122,0.643073313,27,tan
4.3145,0.0217,4.0625,0.5625,0.629876921,0.643073313,28,tan
4.4543,0.1617,2.9375,1.0625,0.643599156,0.643073313,29,tan
4.01995,0.11385,1.4375,0.0625,0.63328155,0.643073313,30,tan
4.1817,0.0202,3.0625,0.0625,0.629766986,0.643073313,31,tan
3.9401,0.071,4.6875,0.1875,0.63573073,0.643073313,32,tan
3.8322,0.0126,2.375,0,0.636619085,0.643073313,33,tan
3.74315,0.06105,3.875,2.25,0.63978087,0.643073313,34,tan
3.5807,0.0638,3.4375,1.1875,0.633826763,0.643073313,35,tan
3.6817,0.0591,8.5,1.5,0.633292357,0.643073313,36,tan
3.57685,0.00865,8.875,0.125,0.639599555,0.643073313,37,tan
3.4074,0.003,8.25,0.75,0.655021834,0.643073313,38,tan
3.08125,0.01235,6.875,0.25,0.64722779,0.643073313,39,tan
2.9119,0.1345,4.0625,0.4375,0.643026408,0.643073313,40,tan
3.28375,0.08365,5.4375,1.5625,0.62806063,0.643073313,41,tan
3.27215,0.06375,10,1.25,0.634060786,0.643073313,42,tan
3.1427,0.0199,6.375,1.625,0.638818412,0.643073313,43,tan
3.2451,0.0007,10.875,1.125,0.635452981,0.643073313,44,tan
3.0588,0.0053,7.75,0.25,0.637261356,0.643073313,45,tan
